externalId,lat,lng,prefectureSlug,address,sourceUrl
osm:w546510682,36.7624622,137.0042461,toyama,,https://www.openstreetmap.org/way/546510682
osm:w546510686,36.7613842,137.0057529,toyama,,https://www.openstreetmap.org/way/546510686
osm:w546512843,36.7753882,137.0373505,toyama,,https://www.openstreetmap.org/way/546512843
osm:w546605075,35.6135745,138.5171676,yamanashi,,https://www.openstreetmap.org/way/546605075
osm:w546751899,36.6275843,136.9515662,toyama,,https://www.openstreetmap.org/way/546751899
osm:w546751900,36.6276909,136.9519903,toyama,,https://www.openstreetmap.org/way/546751900
osm:w546751906,36.6266112,136.957759,toyama,,https://www.openstreetmap.org/way/546751906
osm:w546759020,36.6737458,136.9775187,toyama,,https://www.openstreetmap.org/way/546759020
osm:w547164959,35.2044047,136.9156809,aichi,,https://www.openstreetmap.org/way/547164959
osm:w547547332,36.8228095,136.9942509,toyama,,https://www.openstreetmap.org/way/547547332
osm:w547553227,36.8352594,136.9911717,toyama,,https://www.openstreetmap.org/way/547553227
osm:w547850539,34.2601514,135.172413,wakayama,,https://www.openstreetmap.org/way/547850539
osm:w547936967,34.6784465,136.5145144,mie,,https://www.openstreetmap.org/way/547936967
osm:w548510913,33.6394696,130.496862,fukuoka,,https://www.openstreetmap.org/way/548510913
osm:w548707521,35.1975256,136.8910306,aichi,,https://www.openstreetmap.org/way/548707521
osm:w555896046,33.5424086,133.4993422,kochi,,https://www.openstreetmap.org/way/555896046
osm:w555896059,33.5417015,133.496383,kochi,,https://www.openstreetmap.org/way/555896059
osm:w558803880,34.7559368,136.1319984,nara,,https://www.openstreetmap.org/way/558803880
osm:w560418387,33.5271727,131.3397341,oita,,https://www.openstreetmap.org/way/560418387
osm:w560518330,37.1602061,138.2340563,niigata,,https://www.openstreetmap.org/way/560518330
osm:w560658235,34.3680046,131.2159188,yamaguchi,,https://www.openstreetmap.org/way/560658235
osm:w562475492,35.4580544,136.7314444,gifu,,https://www.openstreetmap.org/way/562475492
osm:w562683875,33.5509943,133.518066,kochi,,https://www.openstreetmap.org/way/562683875
osm:w563237473,34.7250428,137.4757543,aichi,,https://www.openstreetmap.org/way/563237473
osm:w563536812,34.510187,136.6454231,mie,,https://www.openstreetmap.org/way/563536812
osm:w563735226,33.5526383,133.4896427,kochi,,https://www.openstreetmap.org/way/563735226
osm:w568009594,34.4532581,135.3940926,osaka,,https://www.openstreetmap.org/way/568009594
osm:w568697552,34.4572383,135.3963316,osaka,,https://www.openstreetmap.org/way/568697552
